Step	Volume(Å³)	Pressure(GPa)	MeanForce(eV/Å)	MaxForce(eV/Å)	Stress_xx(GPa)	Stress_yy(GPa)	Stress_zz(GPa)	TotalEnergy(eV)	Temperature(K)
0	52.120312	0.044410	0.181532	0.243334	0.025218	0.068460	0.039551	-14.411106	801.02
1	52.120312	0.330169	0.357419	0.478680	0.254746	0.423814	0.311947	-14.410936	753.53
2	52.120312	0.767595	0.522223	0.698300	0.603160	0.968258	0.731366	-14.410675	680.31
3	52.120312	1.301725	0.671023	0.895015	1.024175	1.633585	1.247415	-14.410347	589.57
4	52.120312	1.872619	0.798249	1.060591	1.469954	2.347093	1.800810	-14.409987	491.54
5	52.120312	2.415319	0.898861	1.187315	1.884382	3.033160	2.328415	-14.409643	397.33
6	52.120312	2.868833	0.969159	1.268755	2.216624	3.619844	2.770031	-14.409367	317.50
7	52.120312	3.183419	1.007759	1.300516	2.426524	4.046577	3.077156	-14.409202	260.45
8	52.120312	3.330099	1.016518	1.280848	2.494356	4.274336	3.221605	-14.409172	231.19
9	52.120312	3.304934	1.000578	1.211104	2.424566	4.290829	3.199406	-14.409279	230.63
10	52.120312	3.128385	0.966390	1.120608	2.244170	4.110632	3.030354	-14.409494	255.56
11	52.120312	2.840325	0.919366	1.050023	1.996398	3.771347	2.753229	-14.409773	299.49
12	52.120312	2.489147	0.864331	0.985288	1.729131	3.321981	2.416329	-14.410062	354.01
13	52.120312	2.127389	0.807468	0.976727	1.490581	2.820667	2.070919	-14.410306	410.40
14	52.120312	1.801855	0.759216	1.148760	1.318850	2.324747	1.761969	-14.410468	461.25
15	52.120312	1.546581	0.737409	1.310694	1.237374	1.882283	1.520088	-14.410536	501.55
16	52.120312	1.380324	0.753995	1.448270	1.253835	1.528316	1.358822	-14.410514	529.13
17	52.120312	1.301705	0.797906	1.548512	1.352318	1.277119	1.275678	-14.410426	544.52
18	52.120312	1.295061	0.851838	1.600781	1.504176	1.125437	1.255570	-14.410307	550.25
19	52.120312	1.340478	0.898917	1.597065	1.674352	1.065379	1.281703	-14.410196	549.79
20	52.120312	1.413277	0.928087	1.533846	1.826183	1.079832	1.333817	-14.410115	546.53
21	52.120312	1.488846	0.935301	1.412568	1.925796	1.146626	1.394117	-14.410069	543.07
22	52.120312	1.550376	0.921014	1.238741	1.953959	1.246104	1.451064	-14.410057	540.89
23	52.120312	1.587762	0.888177	1.074138	1.903047	1.361531	1.498707	-14.410068	540.46
24	52.120312	1.595192	0.840368	1.065078	1.778281	1.473964	1.533329	-14.410090	541.49
25	52.120312	1.578281	0.780046	1.028931	1.596161	1.575155	1.563528	-14.410118	543.25
26	52.120312	1.550351	0.711353	0.967193	1.386720	1.667129	1.597203	-14.410150	544.80
27	52.120312	1.524298	0.690481	0.945625	1.184463	1.750802	1.637629	-14.410180	545.10
28	52.120312	1.509267	0.739759	0.996301	1.019463	1.824377	1.683962	-14.410202	543.24
29	52.120312	1.512499	0.786543	1.029848	0.918984	1.886527	1.731985	-14.410216	538.52
30	52.120312	1.530306	0.828063	1.043012	0.895036	1.925709	1.770174	-14.410217	530.57
31	52.120312	1.559212	0.866816	1.257421	0.949547	1.937466	1.790624	-14.410195	519.48
32	52.120312	1.598360	0.902851	1.473600	1.079691	1.924346	1.791042	-14.410157	505.97
33	52.120312	1.643956	0.932236	1.644880	1.274605	1.886590	1.770674	-14.410113	491.17
34	52.120312	1.696232	0.950362	1.763549	1.523464	1.831801	1.733432	-14.410081	476.34
35	52.120312	1.753337	0.954406	1.823251	1.808607	1.763070	1.688334	-14.410070	462.36
36	52.120312	1.812489	0.944992	1.819677	2.107873	1.680588	1.649006	-14.410088	449.48
37	52.120312	1.875718	0.927347	1.754367	2.401710	1.595729	1.629715	-14.410131	437.08
38	52.120312	1.953394	0.908480	1.633963	2.679620	1.531846	1.648716	-14.410173	423.92
39	52.120312	2.055720	0.893903	1.469811	2.939660	1.508629	1.718872	-14.410187	408.78
40	52.120312	2.186855	0.885269	1.275142	3.178440	1.538552	1.843575	-14.410157	391.24
41	52.120312	2.335153	0.880544	1.061793	3.377691	1.613582	2.014187	-14.410079	372.23
42	52.120312	2.481558	0.877380	1.057098	3.520463	1.716843	2.207368	-14.409961	354.09
43	52.120312	2.603737	0.873807	1.149117	3.587660	1.827490	2.396063	-14.409824	340.34
44	52.120312	2.678644	0.870137	1.223540	3.560568	1.923053	2.552310	-14.409694	335.12
45	52.120312	2.682541	0.871335	1.272268	3.425801	1.977976	2.643845	-14.409599	342.35
46	52.120312	2.598178	0.881225	1.289689	3.180493	1.972956	2.641087	-14.409564	364.86
47	52.120312	2.414707	0.888561	1.272421	2.827837	1.891911	2.524371	-14.409602	403.73
48	52.120312	2.133052	0.878006	1.218975	2.382980	1.727617	2.288558	-14.409719	457.74
49	52.120312	1.771891	0.841894	1.129612	1.879017	1.489465	1.947191	-14.409912	523.25
50	52.120312	1.362195	0.778365	1.006596	1.360309	1.195945	1.530331	-14.410156	594.37
51	52.120312	0.944854	0.689013	0.854458	0.876039	0.876013	1.082509	-14.410421	663.58
52	52.120312	0.568842	0.578008	0.682875	0.479839	0.566875	0.659812	-14.410679	722.71
53	52.120312	0.288441	0.453502	0.643856	0.226316	0.313321	0.325687	-14.410892	763.85
54	52.120312	0.149703	0.336246	0.582572	0.156626	0.158615	0.133868	-14.411028	780.53
55	52.120312	0.182308	0.312205	0.508164	0.294583	0.132615	0.119725	-14.411062	768.67
56	52.120312	0.398393	0.385290	0.451348	0.644636	0.252675	0.297868	-14.410985	727.32
57	52.120312	0.786254	0.492908	0.658351	1.185851	0.517909	0.655001	-14.410797	659.00
58	52.120312	1.312932	0.614583	0.876369	1.876847	0.908083	1.153867	-14.410507	569.71
59	52.120312	1.921412	0.739468	1.082383	2.653870	1.374182	1.736184	-14.410146	468.52
60	52.120312	2.539713	0.856243	1.261758	3.433141	1.854309	2.331689	-14.409757	366.62
61	52.120312	3.091096	0.953831	1.402405	4.123818	2.282294	2.867177	-14.409397	275.95
62	52.120312	3.505517	1.023603	1.494309	4.642820	2.597379	3.276352	-14.409125	207.50
63	52.120312	3.731389	1.060256	1.530352	4.928208	2.754713	3.511246	-14.408990	169.54
64	52.120312	3.741602	1.061785	1.507444	4.946029	2.733344	3.545433	-14.409018	166.15
65	52.120312	3.540489	1.030088	1.427187	4.699614	2.540029	3.381825	-14.409202	196.47
66	52.120312	3.163433	0.970866	1.295725	4.229513	2.207462	3.053325	-14.409501	254.98
67	52.120312	2.668808	0.892281	1.135702	3.603896	1.788223	2.614304	-14.409858	332.61
68	52.120312	2.125266	0.803255	0.997388	2.903196	1.344965	2.127636	-14.410210	418.54
69	52.120312	1.604977	0.713215	0.865366	2.211011	0.942663	1.661256	-14.410507	501.95
