Step	Strain	Stress(GPa)	Energy(eV)
0	0.00000	-0.05485	-14.833827
1	0.00200	-0.54991	-14.833630
2	0.00400	-1.51663	-14.832279
3	0.00600	-2.92187	-14.827913
4	0.00800	-4.72519	-14.817822
5	0.01000	-6.86710	-14.798547
6	0.01200	-9.27343	-14.766016
7	0.01400	-11.80010	-14.715838
8	0.01600	-14.11490	-14.644192
9	0.01800	-16.03959	-14.549030
10	0.02000	-17.33089	-14.429855
11	0.02200	-18.50540	-14.287130
12	0.02400	-20.53896	-14.113957
13	0.02600	-23.10289	-13.898285
14	0.02800	-25.37672	-13.633097
15	0.03000	-27.24069	-13.316451
16	0.03200	-27.92290	-12.950917
17	0.03400	-27.16942	-12.551460
18	0.03600	-26.03286	-12.129100
19	0.03800	-23.78630	-11.695444
20	0.04000	-21.33763	-11.270592
21	0.04200	-19.39014	-10.850446
22	0.04400	-17.55546	-10.433374
23	0.04600	-15.38224	-10.027006
24	0.04800	-12.88625	-9.647135
25	0.05000	-10.31750	-9.307125
26	0.05200	-8.47750	-9.008766
27	0.05400	-6.48145	-8.745662
28	0.05600	-4.37699	-8.539654
29	0.05800	-3.84856	-8.372750
30	0.06000	-1.54402	-8.242832
31	0.06200	-0.72618	-8.194242
32	0.06400	-0.00000	-8.175831
33	0.06600	-0.00000	-8.175831
34	0.06800	-0.00000	-8.175831
35	0.07000	-0.00000	-8.175831
36	0.07200	-0.00000	-8.175831
37	0.07400	-0.00000	-8.175831
38	0.07600	-0.00000	-8.175831
39	0.07800	-0.00000	-8.175831
40	0.08000	-0.00000	-8.175831
41	0.08200	-0.00000	-8.175831
42	0.08400	-0.00000	-8.175831
43	0.08600	-0.00000	-8.175831
44	0.08800	-0.00000	-8.175831
45	0.09000	-0.00000	-8.175831
46	0.09200	-0.00000	-8.175831
47	0.09400	-0.00000	-8.175831
48	0.09600	-0.00000	-8.175831
49	0.09800	-0.00000	-8.175831
50	0.10000	-0.00000	-8.175831
